Date,Open,High,Low,Close,Adj Close,Volume
01-07-2002,910,910,880,897.599976,811.72522,426
02-07-2002,900,905,895,903.650024,817.196777,310
03-07-2002,910,910,900,906.700012,819.95459,336
04-07-2002,920,925,910,916.799988,829.088379,591
05-07-2002,915,935,910,927.299988,838.58374,1623
08-07-2002,930,933,918,929.049988,840.166382,1595
09-07-2002,934,934,900.150024,904.400024,817.874512,586
10-07-2002,910,917.900024,901,910.700012,823.571899,826
11-07-2002,891,920,885,893.950012,808.4245,1265
12-07-2002,908.900024,909,890.099976,896.5,810.730408,361
15-07-2002,900,910,871.200012,875,791.287292,1265
16-07-2002,890,890,880,883.049988,798.567444,552
17-07-2002,880.099976,883,880,881.650024,797.301453,572
18-07-2002,867,925,867,912.400024,825.109558,1293
19-07-2002,915,915,903,907.450012,820.63269,415
22-07-2002,898,901,880,885.5,800.783081,756
23-07-2002,870,894.900024,870,891.400024,806.118225,271
24-07-2002,864,894.950012,864,888.5,803.495728,423
25-07-2002,900,900,891,892,806.660889,355
26-07-2002,852,884.900024,852,881.700012,797.346313,1101
29-07-2002,884,905,852,897,811.182678,2486
30-07-2002,917,928,890,894.150024,808.605286,1657
31-07-2002,876,898.900024,870,889.75,804.626221,1149
01-08-2002,898,898,883.599976,884.950012,800.285583,659
02-08-2002,876,890,872.25,889.400024,804.309692,666
05-08-2002,850,927,850,914.650024,827.14386,1726
06-08-2002,970,970,893,906.099976,819.411987,691
07-08-2002,906,960.049988,906,949.049988,858.252686,5411
08-08-2002,949.799988,949.799988,894,900.599976,814.438232,1071
09-08-2002,890,920,890,907.200012,823.148804,417
12-08-2002,909,929,909,923.900024,838.301453,587
13-08-2002,922.150024,929.75,910,910.450012,826.097595,450
14-08-2002,891.049988,908.5,891,897.349976,814.211182,409
15-08-2002,897.349976,897.349976,897.349976,897.349976,814.211182,0
16-08-2002,849.900024,919,849.900024,908,823.874756,205
19-08-2002,905,905,894,895.799988,812.805115,349
20-08-2002,889,905,889,901.049988,817.568542,333
21-08-2002,890,913,890,906.25,822.286499,747
22-08-2002,910,925,905.549988,911.150024,826.732849,675
23-08-2002,924,924.700012,902,902.5,818.884338,482
26-08-2002,915,920,902.099976,912,827.503906,156
27-08-2002,910,910,900,901.650024,818.113098,2288
28-08-2002,890.25,900,888.099976,890.200012,807.723694,365
29-08-2002,888,895,888,891.900024,809.266296,252
30-08-2002,899.950012,907.900024,892.200012,901.599976,818.067566,323
02-09-2002,907,911,892,897.400024,814.256897,215
03-09-2002,909.900024,909.900024,890,895,812.079102,141
04-09-2002,899.950012,904,890.049988,894.650024,811.761536,210
05-09-2002,893.150024,914,893.150024,898.150024,814.937134,70
06-09-2002,851,902,851,901.400024,817.886169,453
09-09-2002,840,900,840,896.549988,813.485229,636
10-09-2002,896.549988,896.549988,896.549988,896.549988,813.485229,0
11-09-2002,900,909,900,909,824.782104,255
12-09-2002,900,917,893.5,915.950012,831.088135,348
13-09-2002,906,913.799988,905.049988,906.049988,822.105286,202
16-09-2002,895,912,895,907.549988,823.466125,201
17-09-2002,905,913,905,909.549988,825.280945,353
18-09-2002,905.900024,914,905,910.900024,826.505859,910
19-09-2002,905.049988,914.950012,905.049988,908.299988,824.14679,208
20-09-2002,906,917,906,915.5,830.67981,660
23-09-2002,906,913.5,905,910.25,825.916138,1170
24-09-2002,906,914,906,912.900024,828.320679,1038
25-09-2002,905,914.900024,905,914.25,829.545593,440
26-09-2002,902,915,902,913.200012,828.592834,312
27-09-2002,912,928,912,922.950012,837.439514,757
30-09-2002,920,920,881.549988,899.549988,816.207275,369
01-10-2002,911,911,872.049988,878.150024,796.790283,278
02-10-2002,878.150024,878.150024,878.150024,878.150024,796.790283,0
03-10-2002,890,890,870,875.5,794.38562,319
04-10-2002,876,880,866.099976,871.5,790.756226,133
07-10-2002,875,880,860,880,798.469116,102
08-10-2002,870,887.950012,870,878,796.654114,32
09-10-2002,865,888.700012,865,873.849976,792.888672,161
10-10-2002,870,870,836,837.900024,760.269287,314
11-10-2002,849.950012,852,836.099976,838,760.360352,436
14-10-2002,825,856.950012,825,842.5,764.442993,264
15-10-2002,842.5,842.5,842.5,842.5,764.442993,0
16-10-2002,849.450012,854.950012,840.25,850.25,771.474915,138
17-10-2002,830.099976,853.75,823.400024,840.25,762.401489,231
18-10-2002,779.450012,849.950012,779.450012,841.400024,763.44519,191
21-10-2002,850,851.900024,841,848,769.433655,379
22-10-2002,854,854,848,849.400024,770.704102,192
23-10-2002,844,850,835,850,771.247986,104
24-10-2002,850,860,847,860,780.321655,242
25-10-2002,855,861,848.099976,854.849976,775.648926,317
28-10-2002,850.099976,852,835,837.650024,760.042603,123
29-10-2002,841.900024,841.900024,825,825.099976,748.655212,74
30-10-2002,821,833.900024,815,815,739.491211,422
31-10-2002,816,828,812,814.849976,739.355042,185
01-11-2002,811,840,811,837.5,759.906189,114
04-11-2002,878.900024,878.900024,821.049988,858.5,778.960693,73
05-11-2002,820,844.900024,805,844.900024,766.620789,81
06-11-2002,844.900024,844.900024,844.900024,844.900024,766.620789,0
07-11-2002,845,849.900024,840.049988,841.049988,763.127563,49
08-11-2002,841,852,840.75,843.650024,765.486694,369
11-11-2002,846.950012,846.950012,830,836.299988,758.817627,71
12-11-2002,835,840,832,839.450012,761.675781,140
13-11-2002,840,852.950012,840,841.900024,766.638611,126
14-11-2002,842,844,833,843.650024,768.231873,81
15-11-2002,841,844,837,843,767.640442,38
18-11-2002,879.950012,879.950012,841,844.5,769.006348,366
19-11-2002,844.5,844.5,844.5,844.5,769.006348,0
20-11-2002,850,850,835,842.25,766.957153,183
21-11-2002,838,845,835,844,768.550659,35
